value
臺灣大學
長榮海事博物館
Kidsawesome奧森兒童博物館
美麗華大直皇家影城
迪化街郵局
白鷺鷥山親山步道
華江雁鴨自然公園
台灣基督長老教會大稻埕教會
海關博物館
麗山橋口親山步道
景美溪河堤步道
興隆公園
關渡自然公園
中山基督長老教會
自由巷及鄭南榕紀念館
陳德星堂
胡適紀念館
慈聖宮前小吃區
北投焚化廠觀景台
欽差行臺
李臨秋故居
芝山巖惠濟宮
北投公民會館
世貿公園
麗正門
牯嶺街小劇場
國立臺北教育大學
內湖復育園區
基隆河左右岸親水自行車道
實踐大學
臺大醫院西址院區
學海書院（今高氏宗祠）
市長官邸藝文沙龍
聖家堂
臺北監獄圍牆遺蹟
科幻巨石陣 Stonehenge
國立臺灣藝術教育館
臺北藝術大學
中正山親山步道
原民生活美學館
順益臺灣原住民博物館
景美集應廟
迪化二Ｏ七博物館
成功高中 蝴蝶宮‧昆蟲科學博物館
迪化運動公園跨堤景觀平臺
THE WALL MUSIC 這牆音樂藝文展演空間
太原五百完人紀念建築群
國立臺灣博物館-南門園區
小南門
義芳居古厝
遼寧公園
蒲添生故居
臺北市交通資訊中心
北投十八份木炭窯
順天外科醫院
景福宮
文山公民會館
防災科學教育館
濟南教會
龍安坡黃宅濂讓居
敦安公園
內湖媽祖聖母殿
孫運璿科技．人文紀念館
台灣精品館
通化公園
社子島迎星碼頭
萬慶巖清水祖師廟
臺大醫學人文博物館
臺北愛樂暨梅哲音樂文化館
文山教會
臺北工業學校紅樓
誠品畫廊
阿嬤家和平與女性人權館
大安藝樓
仙岩公園
臺北戲棚 TaipeiEYE
家畫廊
福利社 FreeS Art Space
臺大法學院
陽明山四０砲陣地
南港茶葉製造示範場
東區商圈
Nou Gallery新畫廊
臺灣新文化運動紀念館
十方樂集音樂劇場
朝代畫廊 Dynasty Gallery
台新金控大樓
文水藝文中心
興旺公園
台開築空間 ARKI GALÉRIA
臺北數位藝術中心
中華文化總會
郭木生文教基金會美術中心
Art Space 金魚空間
中油藝廊
秋刀魚藝術中心
赤粒藝術
看到藝術
二二八國家紀念館
原住民文化主題公園
大院子
非畫廊Beyond Gallery
